
 
 checking how accuracy change with changing way of iterations 
 
iterations,Accuracy,FP,FN,TP,TN 
1,50.0,2500,0,2500,0
2,50.0,2500,0,2500,0
3,50.0,2500,0,2500,0
4,50.0,2500,0,2500,0
5,50.16,2492,0,2500,8
6,50.58,2471,0,2500,29
7,51.62,2419,0,2500,81
8,64.48,1776,0,2500,724
9,71.8,1410,0,2500,1090
10,75.02,1249,0,2500,1251
11,77.18,1141,0,2500,1359
12,79.02,1049,0,2500,1451
13,80.66,967,0,2500,1533
14,81.84,908,0,2500,1592
15,83.0,850,0,2500,1650
16,84.42,779,0,2500,1721
17,85.42,729,0,2500,1771
18,86.72,664,0,2500,1836
19,94.02,299,0,2500,2201
20,100.0,0,0,2500,2500
21,100.0,0,0,2500,2500
22,100.0,0,0,2500,2500
23,100.0,0,0,2500,2500
24,100.0,0,0,2500,2500
25,100.0,0,0,2500,2500
26,100.0,0,0,2500,2500
27,100.0,0,0,2500,2500
28,100.0,0,0,2500,2500
29,100.0,0,0,2500,2500
