
 
 checking how accuracy change with changing way of Rate 
 
Rate,Accuracy,FP,FN,TP,TN 
0.1,77.02,1149,0,2500,1351
0.11,76.26,1187,0,2500,1313
0.12,75.62,1219,0,2500,1281
0.13,75.04,1248,0,2500,1252
0.14,74.52,1274,0,2500,1226
0.15,73.88,1306,0,2500,1194
0.16,73.34,1333,0,2500,1167
0.17,72.7,1365,0,2500,1135
0.18,72.1,1395,0,2500,1105
0.19,71.54,1423,0,2500,1077
0.2,71.02,1449,0,2500,1051
0.21,70.56,1472,0,2500,1028
0.22,69.78,1511,0,2500,989
0.23,69.22,1539,0,2500,961
0.24,68.62,1569,0,2500,931
0.25,68.04,1598,0,2500,902
0.26,67.26,1637,0,2500,863
0.27,66.58,1671,0,2500,829
0.28,65.9,1705,0,2500,795
0.29,65.2,1740,0,2500,760
