checking how accuracy change with changing way of iterations  
 
iterations,Accuracy,FP,FN,TP,TN 
1,50.0,25,0,25,0
2,50.0,25,0,25,0
3,50.0,25,0,25,0
4,50.0,25,0,25,0
5,50.0,25,0,25,0
6,50.0,25,0,25,0
7,50.0,25,0,25,0
8,50.0,25,0,25,0
9,50.0,25,0,25,0
10,54.0,23,0,25,2
11,54.0,23,0,25,2
12,54.0,23,0,25,2
13,54.0,23,0,25,2
14,54.0,23,0,25,2
15,54.0,23,0,25,2
16,56.0,22,0,25,3
17,72.0,14,0,25,11
18,84.0,8,0,25,17
19,100.0,0,0,25,25
20,100.0,0,0,25,25
21,100.0,0,0,25,25
22,100.0,0,0,25,25
23,100.0,0,0,25,25
24,100.0,0,0,25,25
25,100.0,0,0,25,25
26,100.0,0,0,25,25
27,100.0,0,0,25,25
28,100.0,0,0,25,25
29,100.0,0,0,25,25
