
 
 checking how accuracy change with changing way of iterations 
 
iterations,Accuracy,FP,FN,TP,TN 
1,33.4221038615,5000,0,2510,0
2,33.4221038615,5000,0,2510,0
3,33.4221038615,5000,0,2510,0
4,33.4221038615,5000,0,2510,0
5,33.5419440746,4991,0,2510,9
6,33.8881491345,4965,0,2510,35
7,39.4274300932,4549,0,2510,451
8,48.5752330226,3862,0,2510,1138
9,53.741677763,3474,0,2510,1526
10,58.6684420772,3104,0,2510,1896
11,61.8242343542,2867,0,2510,2133
12,64.5406125166,2663,0,2510,2337
13,66.9374167776,2483,0,2510,2517
14,70.3462050599,2227,0,2510,2773
15,72.8362183755,2040,0,2510,2960
16,75.9786950732,1804,0,2510,3196
17,84.5805592543,1158,0,2510,3842
18,89.6005326232,781,0,2510,4219
19,89.7336884154,771,0,2510,4229
