
 
 checking how accuracy change with changing way of Rate 
 
Rate,Accuracy,FP,FN,TP,TN 
0.1,62.1837549933,2840,0,2510,2160
0.11,61.344873502,2903,0,2510,2097
0.12,60.3328894807,2979,0,2510,2021
0.13,59.4007989348,3049,0,2510,1951
0.14,58.7483355526,3098,0,2510,1902
0.15,57.8295605859,3167,0,2510,1833
0.16,56.8042609854,3244,0,2510,1756
0.17,56.2450066578,3286,0,2510,1714
0.18,55.0066577896,3379,0,2510,1621
0.19,54.0878828229,3448,0,2510,1552
0.2,53.4354194407,3497,0,2510,1503
0.21,52.8761651132,3539,0,2510,1461
0.22,52.5432756325,3564,0,2510,1436
0.23,52.0905459387,3598,0,2510,1402
0.24,51.5446071904,3639,0,2510,1361
0.25,50.878828229,3689,0,2510,1311
0.26,50.2396804261,3737,0,2510,1263
0.27,49.880159787,3764,0,2510,1236
0.28,49.6005326232,3785,0,2510,1215
0.29,49.1078561917,3822,0,2510,1178
