
 
 checking how accuracy change with changing way of iterations 
 
iterations,Accuracy,FP,FN,TP,TN 
1,50.0,1000,0,1000,0
2,50.0,1000,0,1000,0
3,50.0,1000,0,1000,0
4,50.0,1000,0,1000,0
5,50.55,989,0,1000,11
6,51.9,962,0,1000,38
7,69.0,620,0,1000,380
8,77.5,450,0,1000,550
9,81.55,369,0,1000,631
10,83.15,337,0,1000,663
11,85.25,295,0,1000,705
12,86.4,272,0,1000,728
13,87.45,251,0,1000,749
14,88.75,225,0,1000,775
15,99.95,0,1,999,1000
16,99.95,0,1,999,1000
17,99.95,0,1,999,1000
18,99.95,0,1,999,1000
19,99.95,0,1,999,1000
20,99.9,0,2,998,1000
21,99.9,0,2,998,1000
22,99.9,0,2,998,1000
23,99.9,0,2,998,1000
24,99.9,0,2,998,1000
25,99.75,0,5,995,1000
26,99.6,0,8,992,1000
27,99.6,0,8,992,1000
28,99.6,0,8,992,1000
29,99.6,0,8,992,1000
